时间,区域,数量
2015/4/17 0:00,C,19411
2015/4/17 3:00,C,40747
2015/4/17 6:00,C,35513
2015/4/17 9:00,C,32932
2015/4/17 12:00,C,27866
2015/4/17 15:00,C,30661
2015/4/17 18:00,C,32546
2015/4/17 21:00,C,34035
2015/4/18 0:00,C,16751
2015/4/18 0:00,C,19734
2015/4/18 3:00,C,40122
2015/4/18 6:00,C,40592
2015/4/18 9:00,C,31049
2015/4/18 12:00,C,30207
2015/4/18 15:00,C,33661
2015/4/18 18:00,C,35536
2015/4/18 21:00,C,35502
2015/4/19 0:00,C,18316
2015/4/19 0:00,C,21042
2015/4/19 3:00,C,43443
2015/4/19 6:00,C,39614
2015/4/19 9:00,C,32297
2015/4/19 12:00,C,28793
2015/4/19 15:00,C,29926
2015/4/19 18:00,C,37127
2015/4/19 21:00,C,38328
2015/4/20 0:00,C,19428
2015/4/20 0:00,C,20161
2015/4/20 3:00,C,44179
2015/4/20 6:00,C,42223
2015/4/20 9:00,C,30803
2015/4/20 12:00,C,27514
2015/4/20 15:00,C,29815
2015/4/20 18:00,C,31925
2015/4/20 21:00,C,31618
2015/4/21 0:00,C,15285
2015/4/21 0:00,C,18772
2015/4/21 3:00,C,37774
2015/4/21 6:00,C,35011
2015/4/21 9:00,C,29253
2015/4/21 12:00,C,28822
2015/4/21 15:00,C,28303
2015/4/21 18:00,C,31347
2015/4/21 21:00,C,38309
2015/4/22 0:00,C,19937
2015/4/22 0:00,C,20137
2015/4/22 3:00,C,42466
2015/4/22 6:00,C,43577
2015/4/22 9:00,C,31838
2015/4/22 12:00,C,27372
2015/4/22 15:00,C,30499
2015/4/22 18:00,C,29567
2015/4/22 21:00,C,35215
2015/4/23 0:00,C,19423
2015/4/23 0:00,C,18552
2015/4/23 3:00,C,39162
2015/4/23 6:00,C,35620
2015/4/23 9:00,C,31423
2015/4/23 12:00,C,25827
2015/4/23 15:00,C,29810
2015/4/23 18:00,C,33079
2015/4/23 21:00,C,32804
2015/4/24 0:00,C,18890
2015/4/24 0:00,C,19451
2015/4/24 3:00,C,40161
2015/4/24 6:00,C,38316
2015/4/24 9:00,C,30801
2015/4/24 12:00,C,28570
2015/4/24 15:00,C,30853
2015/4/24 18:00,C,35658
2015/4/24 21:00,C,36879
2015/4/25 0:00,C,18838
2015/4/25 0:00,C,19235
2015/4/25 3:00,C,40793
2015/4/25 6:00,C,35904
2015/4/25 9:00,C,29486
2015/4/25 12:00,C,31089
2015/4/25 15:00,C,32654
2015/4/25 18:00,C,34827
2015/4/25 21:00,C,36969
2015/4/26 0:00,C,18633
2015/4/26 0:00,C,19268
2015/4/26 3:00,C,40525
2015/4/26 6:00,C,41171
2015/4/26 9:00,C,29682
2015/4/26 12:00,C,28932
2015/4/26 15:00,C,30505
2015/4/26 18:00,C,34275
2015/4/26 21:00,C,34586
2015/4/27 0:00,C,20652
2015/4/27 0:00,C,21394
2015/4/27 3:00,C,41733
2015/4/27 6:00,C,35196
2015/4/27 9:00,C,32470
2015/4/27 12:00,C,31428
2015/4/27 15:00,C,33731
2015/4/27 18:00,C,35324
2015/4/27 21:00,C,35174
2015/4/28 0:00,C,19078
2015/4/28 0:00,C,21804
2015/4/28 3:00,C,45536
2015/4/28 6:00,C,43368
2015/4/28 9:00,C,31969
2015/4/28 12:00,C,30813
2015/4/28 15:00,C,27402
2015/4/28 18:00,C,29917
2015/4/28 21:00,C,35158
2015/4/29 0:00,C,17853
2015/4/29 0:00,C,20410
2015/4/29 3:00,C,40027
2015/4/29 6:00,C,35209
2015/4/29 9:00,C,32841
2015/4/29 12:00,C,28549
2015/4/29 15:00,C,31889
2015/4/29 18:00,C,37811
2015/4/29 21:00,C,36199
2015/4/30 0:00,C,18147
2015/4/30 0:00,C,20123
2015/4/30 3:00,C,39101
2015/4/30 6:00,C,37760
2015/4/30 9:00,C,33645
2015/4/30 12:00,C,27535
2015/4/30 15:00,C,30399
2015/4/30 18:00,C,33836
2015/4/30 21:00,C,37987
2015/5/1 0:00,C,19288
2015/4/1 0:00,D,26125
2015/4/1 3:00,D,41181
2015/4/1 6:00,D,39784
2015/4/1 9:00,D,44816
2015/4/1 12:00,D,62739
2015/4/1 15:00,D,63843
2015/4/1 18:00,D,58860
